Timestamp,Permanent SKU,Item Number,Storage Location,Item Name,Brand,Category,Size,Color,Pattern,Condition,Realistic Sold Value,Inventory Status,Listing Platforms,Department,Photo Destination Status,White Photo Links,Raw / Reference Photo Links,Vendoo Draft Queue Status,Processing Notes,Cash-Flow Priority Rank,Estimated 90-Day Sell-Through,Expected Days to Sell,Recommended List Price,Fast-Sale Price,Offer Floor,Optimized SEO Title,Listing Status,Missing Information,Date Analyzed,Optimized Description
2026-06-22,A1-MD-0001,1,A1,Nike shorts,Nike,Men's Athletic Shorts,,,,,$12.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Not Confirmed,,,,,,,,,$15.00,$12.00,$9.60,Nike Men's Athletic Shorts,,,,Brand: Nike Size: Not Confirmed Color: Not Confirmed Condition: Not Confirmed Features: Men's Athletic Shorts Please review all photos for exact condition and measurements.
2026-06-22,A1-MD-0002,2,A1,Adidas black logo-print capri athletic leggings,Adidas,Women's Athletic Capri Leggings,,Black/White,Solid with logo,Good,$14.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Women's Bottoms,,,,,,,,,$17.50,$14.00,$11.20,Adidas Women's Athletic Capri Leggings Black/White,,,,Brand: Adidas Size: Not Confirmed Color: Black/White Condition: Pre-Owned Features: Women's Athletic Capri Leggings Please review all photos for exact condition and measurements.
2026-06-22,A1-MD-0003,3,A1,Columbia Willapa River shorts,Columbia,Men's Outdoor Shorts,,,,,$22.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Men's Bottoms,,,,,,12,55%,15–35,$27.99,$18.99,$15.00,Columbia Men's Willapa River Outdoor Fishing Shorts,Needs Measurements,"size, final condition, color, material",2026-07-28,Brand: Columbia Size: Not Confirmed Color: Not Confirmed Condition: Not Confirmed Features: Men's Outdoor Shorts Please review all photos for exact condition and measurements.
2026-06-22,A1-MD-0004,4,A1,Patagonia Baggies shorts,Patagonia,Men's Outdoor Shorts,,,,,$35.00,Sold,eBay / Poshmark / Mercari / Depop,Men's Bottoms,,,,,,5,80%,7–21,$44.99,$29.99,$24.00,Patagonia Men's Baggies Outdoor Shorts,Needs Measurements,"size, final condition, color, material",2026-07-28,Brand: Patagonia Size: Not Confirmed Color: Not Confirmed Condition: Not Confirmed Features: Men's Outdoor Shorts Please review all photos for exact condition and measurements.
2026-06-22,A1-MD-0005,5,A1,Vintage America Blues boyfriend jeans,Vintage America Blues,Women's Boyfriend Jeans,,,,,$18.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Women's Bottoms,,,,,,,,,$22.50,$18.00,$14.40,Vintage America Blues Women's Boyfriend Jeans,,,,Brand: Vintage America Blues Size: Not Confirmed Color: Not Confirmed Condition: Not Confirmed Features: Women's Boyfriend Jeans Please review all photos for exact condition and measurements.
2026-06-22,A1-MD-0006,6,A1,Forenza leather jacket,Forenza,Women's Leather Jacket,,,,,$30.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Other,,,,,,35,30%,45–90,$44.99,$27.99,$20.00,Forenza Women's Leather Jacket,Needs Measurements,"size, final condition, color, material",2026-07-28,Brand: Forenza Size: Not Confirmed Color: Not Confirmed Condition: Not Confirmed Features: Women's Leather Jacket Please review all photos for exact condition and measurements.
2026-06-22,A1-MD-0007,7,A1,New Balance navy running shorts,New Balance,Men's Running Shorts,,Navy,,,$12.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Not Confirmed,,,,,,42,45%,20–45,$15.99,$10.99,$8.00,New Balance Men's Running Shorts Navy,Needs Measurements,"size, final condition, material",2026-07-28,Brand: New Balance Size: Not Confirmed Color: Navy Condition: Not Confirmed Features: Men's Running Shorts Please review all photos for exact condition and measurements.
2026-06-23,A1-MD-0008,8,A1,Lauren Ralph Lauren ribbed lace-up 3/4 sleeve top,Lauren Ralph Lauren,Women's Top,M,Peach,Solid ribbed,Good,$15.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Women's Tops,,,,,,,,,$18.75,$15.00,$12.00,Lauren Ralph Lauren Women's Ribbed Lace-Up 3/4 Sleeve Top M Peach,,,,Brand: Lauren Ralph Lauren Size: M Color: Peach Condition: Pre-Owned Features: Women's Top Please review all photos for exact condition and measurements.
2026-06-23,A1-MD-0009,9,A1,Under Armour HeatGear loose-fit performance polo,Under Armour,Men's Polo Shirt,M,Teal,Heathered,Good,$13.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,43,45%,20–45,$16.99,$11.99,$9.00,Under Armour Men's HeatGear Loose-Fit Performance Polo M Teal,Needs Measurements,"final condition, material",2026-07-28,Brand: Under Armour Size: M Color: Teal Condition: Pre-Owned Features: Men's Polo Shirt Please review all photos for exact condition and measurements.
2026-06-23,A1-MD-0010,10,A1,Marvel Captain America all-over-print short-sleeve button-up shirt,Marvel,Men's Casual Button-Down Shirt,M,Beige/Red/Blue,Captain America print,Fair (AS IS),8,Needs Photos,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,,,,$10.00,$8.00,$6.40,Marvel Men's Captain America Print Short-Sleeve Button-Up Shirt M Beige/Red/Blue,,,,Brand: Marvel Size: M Color: Beige/Red/Blue Condition: Fair / Damaged Features: Men's Casual Button-Down Shirt Please review all photos for exact condition and measurements.
2026-06-23,A1-MD-0011,11,A1,Dockers short-sleeve button-down shirt,Dockers,Men's Casual Button-Down Shirt,M,Dark Navy,Solid,Good,$12.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,,,,$15.00,$12.00,$9.60,Dockers Men's Short-Sleeve Button-Down Shirt M Dark Navy,,,,Brand: Dockers Size: M Color: Dark Navy Condition: Pre-Owned Features: Men's Casual Button-Down Shirt Please review all photos for exact condition and measurements.
